pattern_label,rank,symbol,name,country,net_direction,news_count,aspects,top_reason,pos,neg,top_relevance,market_cap_usd,pattern
Big Tech under regulatory fire,2,9988,Alibaba Group Holding Ltd,Hong Kong,neg,12,regulation,"Anthropic accused Alibaba of illicitly accessing its Claude AI models, leading to a 4.9% drop",0,12,1.0,264491203611.853,bigtech-regulatory-heat
Big Tech under regulatory fire,3,AAPL,Apple Inc.,USA,neg,11,regulation,"Apple sues OpenAI for trade secret theft, alleging misappropriation of confidential hardware designs and unreleased technologies.",0,11,1.0,4631217307648.0,bigtech-regulatory-heat
Big Tech under regulatory fire,4,GOOGL,Alphabet Inc Class A,USA,neg,10,regulation,EU top judges upheld a 4.1 billion euro antitrust fine against Google for abusing Android's market power.,0,10,1.0,4358514933760.0,bigtech-regulatory-heat
Big Tech under regulatory fire,5,NVDA,NVIDIA Corporation,USA,neg,8,regulation,"Nvidia halves Asian AI chip buyer list due to stricter compliance checks to prevent chips from reaching China, reducing customer base.",0,8,1.0,5109662089216.0,bigtech-regulatory-heat
Big Tech under regulatory fire,6,SMCI,Super Micro Computer Inc,USA,neg,7,regulation,Taiwan raids and U.S. export-control investigation into alleged smuggling of Nvidia GPUs to China.,0,7,1.0,18312974336.0,bigtech-regulatory-heat
Big Tech under regulatory fire,7,META,Meta Platforms Inc.,USA,neg,6,regulation,"Lawsuit alleges Meta used AI to discriminate against disabled workers in layoffs, risking legal penalties and reputational harm.",0,6,1.0,1698738339840.0,bigtech-regulatory-heat
Big Tech under regulatory fire,8,MU,Micron Technology Inc,USA,neg,4,regulation,"sued for alleged DRAM price fixing, causing stock dip",0,4,1.0,1106014765056.0,bigtech-regulatory-heat
Big Tech under regulatory fire,9,5386,Albatron Technology Co Ltd,Taiwan,neg,4,regulation,Albatron Technology is an affiliated company whose sites were raided as part of the same smuggling investigation.,0,4,0.8,385446628.6592,bigtech-regulatory-heat
Big Tech under regulatory fire,10,000660,SK Hynix Inc,Korea,neg,3,regulation,Accused of colluding to fix DRAM prices in a class-action antitrust lawsuit; faces legal and reputational risk.,0,3,1.0,984852751345.254,bigtech-regulatory-heat
Big Tech under regulatory fire,11,005930,Samsung Electronics Co Ltd,Korea,neg,3,regulation,Accused of colluding to fix DRAM prices in a class-action antitrust lawsuit; faces legal and reputational risk.,0,3,1.0,1234185534989.93,bigtech-regulatory-heat
Big Tech under regulatory fire,12,700,Tencent Holdings Ltd,Hong Kong,neg,3,regulation,"Tencent loses four lobbying firms due to new US rule barring Pentagon work with lobbyists representing blacklisted entities, increasing compliance and political risks.",0,3,0.8,587453046400.0,bigtech-regulatory-heat
Big Tech under regulatory fire,13,SSTK,Shutterstock,USA,neg,2,regulation,Plunged more than 30% after Getty called off proposed merger due to demands from a U.K. regulator.,0,2,1.0,311905760.0,bigtech-regulatory-heat
Big Tech under regulatory fire,14,GETY,Getty Images Holdings Inc.,USA,neg,2,regulation,Getty Images dropped 4% after its proposed merger with Shutterstock was called off due to U.K. regulator demands.,0,2,1.0,294695936.0,bigtech-regulatory-heat
Big Tech under regulatory fire,15,PLTR,Palantir Technologies Inc.,USA,neg,1,regulation,"Khan's contract ban due to procurement breach and ethics concerns blocks £50m Met Police deal, with Palantir warning of adverse commercial consequences.",0,1,1.0,311746428928.0,bigtech-regulatory-heat
Big Tech under regulatory fire,16,CBRS,Cerebras Systems Inc. Class A Common Stock,USA,neg,1,regulation,"Company is under investigation for securities law violations, which is negative for the stock.",0,1,1.0,45599678464.0,bigtech-regulatory-heat
Big Tech under regulatory fire,17,BX,Blackstone Group Inc,USA,neg,1,regulation,"QTS, a Blackstone portfolio company, terminated the Digital Gateway project due to legal and regulatory hurdles.",0,1,0.9,150448226304.0,bigtech-regulatory-heat
Big Tech under regulatory fire,18,ORCL,Oracle Corporation,USA,neg,1,regulation,"Oracle's remaining performance obligations are roughly half tied to OpenAI; the lawsuit adds credit risk, and S&P downgraded Oracle's debt to BBB- due to OpenAI relationship.",0,1,0.9,405109440512.0,bigtech-regulatory-heat
Big Tech under regulatory fire,19,ACN,Accenture plc,USA,neg,1,regulation,"Federal contract disruptions from DOGE reviews and slowdowns, with 1% drag on growth.",0,1,0.9,82752921600.0,bigtech-regulatory-heat
Big Tech under regulatory fire,20,SPCX,Space Exploration Technologies Corp. Class A Common Stock,USA,neg,1,regulation,"SpaceXAI received an F grade, indicating very poor safety practices and potential regulatory backlash.",0,1,0.9,1833056337920.0,bigtech-regulatory-heat
The chip war's competitive front line,1,NVDA,NVIDIA Corporation,USA,neg,49,competition,"Chinese startup DeepSeek is developing its own AI inference chip, potentially reducing reliance on Nvidia.",1,43,1.0,5109662089216.0,chip-competitive-crossfire
The chip war's competitive front line,2,MU,Micron Technology Inc,USA,neg,25,competition,Apple's rumored deal with CXMT threatens Micron's mobile segment by introducing Chinese competition that could undercut pricing.,0,24,1.0,1106014765056.0,chip-competitive-crossfire
The chip war's competitive front line,3,AMD,Advanced Micro Devices Inc,USA,neg,20,competition,"ARK says AMD chips can be more performant per dollar than Nvidia, and AMD is gaining data center share with Helios rack-scale solution and commitments from OpenAI, Meta, Oracle.",2,16,1.0,909695778816.0,chip-competitive-crossfire
The chip war's competitive front line,4,000660,SK Hynix Inc,Korea,neg,18,competition,Fears of rising Chinese competition cause SK Hynix shares to tumble 13.2%.,1,15,0.9,984852751345.254,chip-competitive-crossfire
The chip war's competitive front line,5,005930,Samsung Electronics Co Ltd,Korea,neg,17,competition,"Samsung and SK Hynix plan massive $575B+ in new facilities, which could pressure pricing and worsen downcycles for Micron.",0,14,0.9,1234185534989.93,chip-competitive-crossfire
The chip war's competitive front line,6,2330,Taiwan Semiconductor Manufacturing Co. Ltd.,Taiwan,neg,17,competition,"Intel Foundry aims to become a credible alternative to TSMC, threatening TSMC's dominance in AI chip manufacturing.",0,15,0.8,1983981942525.13,chip-competitive-crossfire
The chip war's competitive front line,7,INTC,Intel Corporation,USA,neg,15,competition,"Intel's data-center revenue fell behind AMD's at $5.1B, and its stock fell 21% on reports of 18A process yield delays until 2027.",1,11,1.0,552055799808.0,chip-competitive-crossfire
The chip war's competitive front line,8,AVGO,Broadcom Inc,USA,neg,9,competition,"Google may shift custom chip design from Broadcom to MediaTek for the Triggerfish chip, threatening Broadcom's ASIC market position.",2,7,1.0,1827148660736.0,chip-competitive-crossfire
The chip war's competitive front line,9,SNDK,Sandisk Corp,USA,neg,3,competition,"Report that Apple may buy from Chinese supplier CXMT threatens Sandisk's NAND business, causing 4% drop.",0,3,1.0,260315136000.0,chip-competitive-crossfire
The chip war's competitive front line,10,2454,MediaTek Inc,Taiwan,pos,2,competition,"MediaTek may take over Google's TPU design for the Triggerfish chip, gaining a major customer and competitive edge.",2,0,0.9,194833181258.547,chip-competitive-crossfire
The chip war's competitive front line,11,MRVL,Marvell Technology Group Ltd,USA,neg,1,competition,"Compared unfavorably to Broadcom with slower growth, lower market share, and higher valuation",0,1,1.0,211649953792.0,chip-competitive-crossfire
The chip war's competitive front line,12,688041,Hygon Information Technology Co. Ltd. A,China,neg,1,competition,Macquarie rates Hygon underperform due to market share concerns.,0,1,0.9,118440136828.518,chip-competitive-crossfire
The chip war's competitive front line,13,3711,ASE Industrial Holding Co Ltd,Taiwan,neg,1,competition,"ASE Technology is a competitor in the 2.5D packaging ecosystem, and Amkor's strong pipeline and revenue growth may pressure ASE's market position.",0,1,0.5,91430502819.4304,chip-competitive-crossfire
The chip war's competitive front line,14,6857,Advantest Corp.,Japan,pos,1,competition,"Teradyne and Advantest form a duopoly with 85-90% market share, supporting pricing power for both.",1,0,0.5,128774956271.669,chip-competitive-crossfire
The chip war's competitive front line,15,5425,Taiwan Semiconductor Co Ltd,Taiwan,neg,1,competition,Same as TSMC; Intel's foundry progress poses competitive risk.,0,1,0.4,813707175.3216,chip-competitive-crossfire
The chip war's competitive front line,16,NVTS,Navitas Semiconductor Corp,USA,neg,1,competition,onsemi's fab divestiture and focus on AI/auto/industrial may strengthen its competitive position against Navitas in SiC and GaN.,0,1,0.3,3134554368.0,chip-competitive-crossfire
The chip war's competitive front line,17,ADI,Analog Devices Inc,USA,neg,1,competition,"Analog Devices is mentioned as a competitor combining high-performance mixed-signal technologies with embedded intelligence, but the article focuses on Microchip's positive demand.",0,1,0.3,192715980800.0,chip-competitive-crossfire
The chip war's competitive front line,18,TER,Teradyne Inc,USA,neg,1,competition,"Acquisition brings memory test technology to domestic market, potentially competing with Teradyne's core business.",0,1,0.3,56292560896.0,chip-competitive-crossfire
The chip war's competitive front line,19,IFX,Infineon Technologies AG,Germany,neg,1,competition,STM's China-for-China strategy and strong MCU momentum pose competitive threat to Infineon in industrial automation.,0,1,0.3,115005069490.586,chip-competitive-crossfire
The chip war's competitive front line,20,COHR,Coherent Inc,USA,mixed,1,competition,"Mentioned as a competitor scaling similar products, but no direct impact on Coherent from this news.",0,0,0.3,63484960768.0,chip-competitive-crossfire
Memory supercycle — who has pricing power,1,MU,Micron Technology Inc,USA,pos,11,pricing,"Citi cites higher second-half 2026 DRAM prices for Micron, which is positive for revenue and margins.",11,0,1.0,1106014765056.0,memory-supercycle-pricing
Memory supercycle — who has pricing power,2,2330,Taiwan Semiconductor Manufacturing Co. Ltd.,Taiwan,pos,5,pricing,"TSMC is raising prices for advanced nodes by 5-10%, boosting profitability",5,0,1.0,1983981942525.13,memory-supercycle-pricing
Memory supercycle — who has pricing power,3,300458,All Winner Technology Co Ltd,China,pos,4,pricing,"Raised product selling prices to offset rising raw material costs, boosting profit.",4,0,1.0,5863071824.6912,memory-supercycle-pricing
Memory supercycle — who has pricing power,4,688110,Dosilicon Co Ltd,China,pos,3,pricing,expects niche memory chip prices to rise through the year due to supply contraction and demand recovery,3,0,1.0,9750559267.6352,memory-supercycle-pricing
Memory supercycle — who has pricing power,5,1888,Kingboard Laminates Holdings Ltd,Hong Kong,pos,2,pricing,"Kingboard Laminates issued a price increase notice, raising prices for FR-4, PP, CEM-1, and 22F.",2,0,1.0,22177195353.7024,memory-supercycle-pricing
Memory supercycle — who has pricing power,6,SNDK,Sandisk Corp,USA,pos,2,pricing,"Memory chip shortage drives NAND prices higher, directly boosting Sandisk's revenue and margins.",2,0,1.0,260315136000.0,memory-supercycle-pricing
Memory supercycle — who has pricing power,7,ASML,ASML Holding N.V.,Netherlands,pos,2,pricing,"ASML is planning to raise prices for its chipmaking equipment, which would boost revenue.",2,0,1.0,691618644623.36,memory-supercycle-pricing
Memory supercycle — who has pricing power,8,001287,Shenzhen CECport Technologies Co. Ltd. A,China,pos,2,pricing,Rising prices of core products like memory boosting revenue,2,0,1.0,3150499361.5872,memory-supercycle-pricing
Memory supercycle — who has pricing power,9,005930,Samsung Electronics Co Ltd,Korea,pos,2,pricing,AI demand lifting memory chip prices drives profit surge,2,0,1.0,1234185534989.93,memory-supercycle-pricing
Memory supercycle — who has pricing power,10,INTC,Intel Corporation,USA,pos,1,pricing,"Intel may raise server chip prices again due to tight supply, boosting revenue without hurting demand.",1,0,1.0,552055799808.0,memory-supercycle-pricing
Memory supercycle — who has pricing power,11,000660,SK Hynix Inc,Korea,pos,1,pricing,"SK Hynix removes price caps, allowing spot price increases to be fully reflected in long-term contracts, boosting revenue.",1,0,1.0,984852751345.254,memory-supercycle-pricing
Memory supercycle — who has pricing power,12,300223,Ingenic Semiconductor,China,pos,1,pricing,"Ingenic Semiconductor said DRAM prices have risen significantly and are expected to rise further, boosting its stock.",1,0,0.9,14500327799.1936,memory-supercycle-pricing
Memory supercycle — who has pricing power,13,3711,ASE Industrial Holding Co Ltd,Taiwan,pos,1,pricing,ASE adjusted packaging quotes with price increases up to over 20% for advanced packaging technologies.,1,0,0.9,91430502819.4304,memory-supercycle-pricing
Memory supercycle — who has pricing power,14,1815,Fulltech Fiber Glass,Taiwan,pos,1,pricing,Fulltech Fiber Glass will implement a 30% price increase for standard E-glass electronic cloth and 15% for low-DK cloth starting July 1.,1,0,0.9,1722515726.336,memory-supercycle-pricing
Memory supercycle — who has pricing power,15,NVDA,NVIDIA Corporation,USA,pos,1,pricing,"Potential 25% price increase on Vera Rubin systems, boosting margins.",1,0,0.8,5109662089216.0,memory-supercycle-pricing
"AI datacenter power-infra winners (Vertiv, GE Vernova, nVent…)",1,VRT,Vertiv Holdings Co,USA,pos,18,capital|demand|technology,"DCF analysis suggests 17.7% upside, implying stock is undervalued.",18,0,1.0,117487353856.0,ai-power-infra-winners
"AI datacenter power-infra winners (Vertiv, GE Vernova, nVent…)",2,GEV,GE Vernova LLC,USA,pos,14,capital|demand,AI data center demand for gas turbines and electrification equipment drives optimism,14,0,1.0,280167481344.0,ai-power-infra-winners
"AI datacenter power-infra winners (Vertiv, GE Vernova, nVent…)",3,NVT,nVent Electric PLC,USA,pos,5,capital|demand,"Expanding manufacturing capacity to meet strong demand from AI data centers and power utilities, with 34% organic sales growth and 40% order growth",5,0,1.0,25555066880.0,ai-power-infra-winners
"AI datacenter power-infra winners (Vertiv, GE Vernova, nVent…)",4,ETN,Eaton Corporation PLC,USA,pos,2,demand|technology,AI data center boom drives demand for Eaton's power management solutions.,2,0,1.0,158146822144.0,ai-power-infra-winners
"AI datacenter power-infra winners (Vertiv, GE Vernova, nVent…)",5,7011,"Mitsubishi Heavy Industries, Ltd.",Japan,pos,1,demand,"Mitsubishi Heavy would supply cooling and energy management equipment for Nvidia's AI data centers, potentially securing new business.",1,0,0.9,78039354011.624,ai-power-infra-winners
"AI datacenter power-infra winners (Vertiv, GE Vernova, nVent…)",6,300870,Shenzhen Honor Electronic Co Ltd,China,pos,1,demand,"Data center power supply business driving revenue growth, with new cooperation with Google on GPU power supply projects.",1,0,0.9,5664995584.8192,ai-power-infra-winners
"AI datacenter power-infra winners (Vertiv, GE Vernova, nVent…)",7,SU,Schneider Electric S.E.,France,pos,1,demand,"Schneider Electric is a key player in the growing direct-to-chip cooling market, which is projected to expand rapidly.",1,0,0.7,173411328234.291,ai-power-infra-winners
The Taiwan chip complex winning on AI demand,1,2408,Nanya Technology Corp,Taiwan,pos,1,capital,"Q2 2026 revenue surged 68.2% and EPS rose to $14.66 from $8.41, driven by higher ASPs and strong margins.",1,0,1.0,41967970615.296,taiwan-chip-complex
The Taiwan chip complex winning on AI demand,2,2317,Hon Hai Precision Industry Co Ltd,Taiwan,pos,4,demand|technology,"AI server demand drives revenue beat, with major tech firms planning massive AI investments.",4,0,1.0,102986223321.088,taiwan-chip-complex
The Taiwan chip complex winning on AI demand,3,2330,Taiwan Semiconductor Manufacturing Co. Ltd.,Taiwan,pos,81,capital|demand|pricing|supply|technology,"TSMC reported Q2 revenue of NT$1.27T, up 36% YoY, beating market expectations.",81,0,1.0,1983981942525.13,taiwan-chip-complex
The Taiwan chip complex winning on AI demand,4,2449,King Yuan Electronics Co Ltd,Taiwan,pos,2,capital,King Yuan plans to invest up to $1.4 billion in a US facility to support operational growth and strengthen its supply chain position.,2,0,1.0,11902566013.3376,taiwan-chip-complex
The Taiwan chip complex winning on AI demand,5,2344,Winbond Electronics Corp,Taiwan,pos,1,demand,"Winbond will supply DRAM wafers for AI applications via TSMC's advanced packaging, opening a new revenue stream.",1,0,1.0,23371652077.9776,taiwan-chip-complex
The Taiwan chip complex winning on AI demand,6,8150,ChipMOS Technologies,Taiwan,pos,1,capital,Record revenue and strong growth reported,1,0,1.0,2487162821.8368,taiwan-chip-complex
The Taiwan chip complex winning on AI demand,7,6488,GlobalWafers Co Ltd,Taiwan,pos,9,capital|demand,Micron provides $500M strategic financing for GlobalWafers' new silicon wafer facility and plans 10-year supply agreement.,9,0,1.0,22080964873.4208,taiwan-chip-complex
The Taiwan chip complex winning on AI demand,8,2303,United Microelectronics Corporation,Taiwan,pos,2,demand|technology,"UMC starts mass production of silicon photonics wafers, a technology milestone for AI interconnects",2,0,1.0,60870277516.4928,taiwan-chip-complex
The Taiwan chip complex winning on AI demand,9,3661,Alchip Technologies Ltd,Taiwan,pos,1,capital,"Company completed a US$510 million GDS offering, oversubscribed 10x, providing capital for advanced technology development.",1,0,1.0,10556821733.376,taiwan-chip-complex
The Taiwan chip complex winning on AI demand,10,3711,ASE Industrial Holding Co Ltd,Taiwan,pos,3,capital|demand|pricing,"BofA raised price target to $48 and reaffirmed Buy rating, citing AI infrastructure expansion benefits.",3,0,1.0,91430502819.4304,taiwan-chip-complex
The Taiwan chip complex winning on AI demand,11,3105,WIN Semiconductors,Taiwan,pos,2,technology,"WIN Semiconductors partners to offer automated GaN MMIC design workflow, enhancing its manufacturing service for 5G and defense.",2,0,0.9,5313372099.3792,taiwan-chip-complex
The Taiwan chip complex winning on AI demand,12,2454,MediaTek Inc,Taiwan,pos,2,competition,"MediaTek may take over Google's TPU design for the Triggerfish chip, gaining a major customer and competitive edge.",2,0,0.9,194833181258.547,taiwan-chip-complex
The Taiwan chip complex winning on AI demand,13,1815,Fulltech Fiber Glass,Taiwan,pos,1,pricing,Fulltech Fiber Glass will implement a 30% price increase for standard E-glass electronic cloth and 15% for low-DK cloth starting July 1.,1,0,0.9,1722515726.336,taiwan-chip-complex
The Taiwan chip complex winning on AI demand,14,5425,Taiwan Semiconductor Co Ltd,Taiwan,pos,2,capital|demand,May revenue up 30.1% YoY and strong Q2 guidance with gross margins 65.5%-67.5%.,2,0,0.9,813707175.3216,taiwan-chip-complex
The Taiwan chip complex winning on AI demand,15,6533,Andes Technology Corp,Taiwan,pos,1,demand,Andes Technology is a key RISC-V player; market quadrupling and high CAGR directly boost its prospects,1,0,0.8,331589302.6816,taiwan-chip-complex
The Taiwan chip complex winning on AI demand,16,2441,Greatek Electronics Inc,Taiwan,pos,3,capital|demand,"Greatek Electronics is acquiring Onsemi's Philippines plant, expanding its manufacturing capacity.",3,0,0.8,2414836590.1824,taiwan-chip-complex
